"","79800001","79800002","79800003","79800004","79800005","79800006","79800007","79800008","79800009","79800010","79800011","79800012","79800013","79800014","79800015","79800016","79800017","79800018","79800019","79800020","79800021","79800022","79800023","79800024","79800025","79800026","79800027","79800028","79800029","79800030","79800031","79800032","79800033","79800034","79800035","79800036","79800037","79800038","79800039","79800040","79800041","79800042","79800043","79800044","79800045","79800046","79800047","79800048","79800049","79800050","79800051","79800052","79800053","79800054","79800055","79800056","79800057","79800058","79800059","79800060","79800061","79800062","79800063","79800064","79800065","79800066","79800067","79800068","79800069","79800070","79800071","79800072","79800073","79800074","79800075","79800076","79800077","79800078","79800079","79800080","79800081","79800082","79800083","79800084","79800085","79800086","79800087","79800088","79800089","79800090","79800091","79800092","79800093","79800094","79800095","79800096","79800097","79800098","79800099","79800100","79800101","79800102","79800103","79800104","79800105","79800106","79800107","79800108","79800109","79800110","79800111","79800112","79800113","79800114","79800115","79800116","79800117","79800118","79800119","79800120","79800121","79800122","79800123","79800124","79800125","79800126","79800127","79800128","79800129","79800130","79800131","79800132","79800133","79800134","79800135"
"79800010",20.85311,23.41565,19.9087,17.57487,17.68755,14.86776,12.54244,4.88609,2.6594,0,3.46509,2.60455,3.17691,3.47961,3.8603,3.59879,5.38747,7.24574,5.36785,4.90148,5.0968,7.10448,20.83502,10.06171,9.02968,11.80463,13.39269,11.90668,13.44337,10.49965,11.49147,39.40798,5.3475,6.26049,7.0764,8.20232,7.3392,8.86988,10.81329,11.60111,10.65323,10.25762,11.35932,11.39105,10.41018,7.28741,9.23894,8.18503,11.12172,9.1124,6.52385,6.74223,10.86091,17.33381,19.28659,22.25904,26.30355,19.87374,23.78189,22.72108,25.09206,24.4909,24.39058,25.33777,27.35591,27.36762,25.27188,16.6657,19.86737,14.56265,16.62363,31.46676,27.66337,29.74879,33.13008,34.04165,50.82986,48.11843,47.1636,45.56891,34.04152,17.62169,20.73963,16.33212,18.91644,18.95142,23.08922,21.85753,19.61632,28.38055,31.32143,48.93673,36.57693,42.36762,45.44831,39.30759,24.07285,23.46077,25.04053,31.64017,29.3445,28.84248,32.27921,29.1575,36.08572,34.62802,33.67126,33.66917,34.75431,44.32447,48.14096,46.86359,44.81276,28.34184,34.00176,34.38481,25.5174,29.58314,8.31413,9.65719,10.88921,10.73897,24.74369,21.31951,14.51939,23.04569,13.56217,12.87821,8.51914,6.16314,21.79956,40.97129,49.9511,27.92711,6.42087
"79800011",22.01255,24.07307,20.72786,18.51721,19.51876,15.06194,13.63837,6.27971,3.12491,3.46509,0,1.97764,5.43464,4.93552,2.40555,3.52086,2.00038,3.83965,2.42668,5.52426,4.78435,3.75784,17.59849,6.59663,5.7302,8.40956,10.0135,8.61706,10.26458,7.3279,8.37785,36.24804,3.25649,4.80958,5.07833,5.99549,4.55023,6.22568,7.94187,8.93401,8.12727,8.02323,9.2084,10.03378,8.58072,6.16735,7.68256,7.42037,10.71804,9.69409,6.34303,7.18242,12.7367,13.86882,15.82156,18.80452,22.83848,16.5933,20.40857,19.38674,21.6666,21.15745,21.03972,21.98387,23.91126,23.97062,21.96026,13.42078,16.77776,12.15775,16.00625,28.13795,24.38652,26.54563,29.96309,30.85278,47.77248,45.03116,44.09843,42.46266,30.77335,14.72711,19.76172,14.83242,17.4407,16.2314,19.91964,19.01163,17.47421,25.4254,28.23764,46.07368,33.95001,39.93107,43.30981,37.42484,22.63636,20.98458,22.28499,29.91078,27.15786,26.16987,29.42951,26.68894,32.97507,31.93824,30.52001,30.55341,31.72725,41.33057,45.10299,44.17146,42.6453,26.6603,31.79613,31.23782,22.46823,26.16383,5.33195,10.28766,13.34185,8.35601,21.35628,17.87858,11.09521,20.94169,12.83694,13.45247,8.38788,7.18447,22.58099,38.23511,46.8768,25.89508,9.17496
"79800012",22.89879,25.20999,21.77912,19.50041,20.01945,16.36331,14.51663,6.86937,3.85378,2.60455,1.97764,0,3.55896,2.96361,1.26961,1.66845,3.85919,5.59478,2.91723,3.62352,3.13374,4.83304,19.4042,8.05242,6.65146,9.50246,11.05204,9.48198,10.93655,8.01048,8.96692,36.85752,2.74464,3.80899,4.50969,5.61757,4.76552,6.26784,8.22741,8.99676,8.05056,7.68282,8.80515,9.07744,7.92514,4.9973,6.82386,6.08799,9.2735,7.8925,4.71358,5.37365,10.76077,15.26948,17.21193,20.28844,24.19682,17.40535,21.39407,20.29185,22.78908,22.05764,21.97525,22.9242,25.10155,25.00744,22.81782,14.18239,17.30754,11.97807,14.70152,29.02063,25.17992,27.22145,30.58505,31.5051,48.24778,45.54359,44.58375,42.99953,31.54687,15.02602,18.65094,13.99846,16.60274,16.34695,20.55354,19.25552,17.09144,25.78637,28.75052,46.33295,33.98073,39.79837,42.94638,36.87865,21.78928,20.87723,22.43604,29.25702,26.82137,26.24136,29.67576,26.57838,33.52027,32.02674,31.12004,31.10621,32.16942,41.73218,45.55541,44.26331,42.30299,25.97173,31.47734,31.83174,22.94122,27.25995,7.29127,11.35221,13.40599,10.3235,22.37326,19.0658,12.70996,20.53611,11.5621,11.688,6.79438,5.25496,23.65603,38.3682,47.37285,25.44319,7.31985
"79800013",23.53017,26.29617,22.74859,20.3846,19.99008,17.93926,15.35754,7.86931,5.81148,3.17691,5.43464,3.55896,0,1.14715,4.16734,2.88799,7.39595,9.1536,6.21971,2.62682,3.63125,8.21954,22.96315,11.53145,9.86513,12.74756,14.22497,12.54911,13.78248,10.97748,11.80455,39.34581,5.40361,5.42474,6.55314,7.68433,7.59997,8.74364,10.79641,11.25684,10.20825,9.52121,10.44095,9.71601,9.24784,5.89867,7.94188,6.33426,8.72887,6.24262,4.48202,4.16758,7.70569,18.66673,20.5933,23.72235,27.53105,20.26958,24.40145,23.22473,25.92278,24.97142,24.92701,25.87459,28.28876,28.04607,25.67987,17.04226,19.85425,13.73831,14.17484,31.87467,27.95346,29.84217,33.11864,34.07211,50.51889,47.87329,46.87912,45.37005,34.2624,17.33381,18.4512,14.54415,17.03935,18.37768,23.18046,21.40349,18.34165,28.01179,31.15498,48.30025,35.66073,41.18368,43.92558,37.56599,22.07566,22.48579,24.40588,29.80996,27.97047,28.04874,31.70802,28.10149,35.93939,33.80882,33.62278,33.54811,34.45823,43.92073,47.80232,45.98514,43.32215,26.49885,32.60878,34.32285,25.34304,30.34865,10.75333,12.68585,12.83123,13.56431,25.40612,22.2785,16.22989,21.66535,11.27598,9.89978,6.13401,3.27747,24.6412,40.17936,49.675,26.41036,3.76092
"79800014",24.22121,26.87015,23.34804,21.00114,20.82809,18.34385,15.96585,8.35219,5.93668,3.47961,4.93552,2.96361,1.14715,0,3.27701,1.8847,6.8044,8.4763,5.33231,1.59125,2.48448,7.33411,22.2523,10.68258,8.88894,11.76523,13.21283,11.51403,12.69812,9.92712,10.72573,38.20671,4.37711,4.28567,5.42535,6.5493,6.55346,7.63367,9.68547,10.11999,9.06869,8.37438,9.29569,8.63691,8.11055,4.76263,6.80936,5.26395,7.84194,5.63485,3.42896,3.32861,7.83908,17.7371,19.65143,22.80906,26.55773,19.17637,23.32991,22.13997,24.87985,23.88192,23.84423,24.79084,27.25946,26.97843,24.5816,15.9529,18.72506,12.59314,13.33024,30.77201,26.84179,28.71402,31.98318,32.93869,49.37224,46.72771,45.73292,44.22564,33.1418,16.19235,17.55188,13.50178,16.02104,17.23052,22.05579,20.25674,17.22918,26.86541,30.01315,47.15628,34.52762,40.07328,42.85907,36.53604,21.09327,21.35208,23.25978,28.79458,26.87691,26.9078,30.56163,26.97584,34.79748,32.67016,32.48535,32.40753,33.31247,42.77359,46.65546,44.85139,42.25057,25.48399,31.5199,33.18464,24.20234,29.29113,10.25453,13.13635,13.75294,13.24587,24.33914,21.26288,15.40995,20.56815,10.35931,9.40006,5.22415,2.68664,25.24043,39.04039,48.52882,25.33563,4.57295
"79800015",24.04775,26.27282,22.8731,20.61638,21.25145,17.34421,15.65932,8.05762,4.96536,3.8603,2.40555,1.26961,4.16734,3.27701,0,1.43988,3.8232,5.31169,2.06029,3.34072,2.40191,4.06416,19.01091,7.40597,5.7147,8.59589,10.09953,8.46564,9.83168,6.94011,7.85102,35.68724,1.49482,2.60531,3.2411,4.34875,3.61225,5.0409,7.03253,7.755,6.79496,6.41323,7.53698,7.90143,6.67722,3.87878,5.61032,5.06761,8.33917,7.33682,3.94188,4.84745,10.71162,14.50022,16.42597,19.56012,23.36836,16.32126,20.37008,19.23644,21.82681,20.99668,20.92879,21.87798,24.17052,23.99984,21.73901,13.09115,16.13499,10.70982,13.68687,27.94335,24.07446,26.07594,29.42153,30.34944,47.04237,44.34681,43.38127,41.80901,30.42848,13.80645,17.54772,12.79937,15.40789,15.09754,19.40382,18.02085,15.82687,24.56651,27.56053,45.09072,32.71734,38.52883,41.68463,35.63567,20.601,19.60902,21.18652,28.02952,25.55626,24.9824,28.43542,25.30954,32.33529,30.76797,29.95028,29.92438,30.962,40.51365,44.34586,43.00331,41.03972,24.74959,30.2118,30.65995,21.7467,26.27706,7.32078,12.42652,14.67392,10.58016,21.36128,18.14719,12.13335,19.27426,10.52643,11.06829,5.98237,5.01349,24.7424,37.11249,46.17205,24.18671,7.84136
"79800016",24.34536,26.75571,23.29699,20.9957,21.28226,17.97333,15.98532,8.30048,5.42405,3.59879,3.52086,1.66845,2.88799,1.8847,1.43988,0,5.1851,6.74055,3.46633,2.00461,1.5429,5.46182,20.45,8.81861,7.00752,9.88619,11.34618,9.6624,10.90642,8.0896,8.92577,36.58123,2.51618,2.78902,3.80121,4.95546,4.71219,5.91133,7.9593,8.51076,7.48754,6.91877,7.94642,7.79327,6.8969,3.69375,5.67844,4.6134,7.6921,6.22707,3.08894,3.70736,9.31493,15.85245,17.76695,20.92509,24.67791,17.39848,21.51645,20.34631,23.03549,22.09615,22.04714,22.99519,25.4046,25.15977,22.81261,14.16877,17.05307,11.21713,13.16129,29.01146,25.10414,27.03163,30.336,31.27985,47.83793,45.16871,44.18727,42.64926,31.42961,14.60294,17.19674,12.73407,15.31767,15.75852,20.36213,18.74444,16.11416,25.33338,28.41345,45.74823,33.23869,38.92334,41.90427,35.72278,20.47648,20.0784,21.82917,28.04511,25.82878,25.55399,29.11454,25.75084,33.19634,31.33397,30.85022,30.7956,31.76174,41.27011,45.12988,43.55002,41.27609,24.74531,30.48479,31.55451,22.59614,27.46078,8.68351,12.90563,14.45691,11.85651,22.51977,19.39911,13.55328,19.52024,10.05115,10.02003,5.16473,3.67308,25.18027,37.69616,46.98163,24.37468,6.45578
"79800017",22.23261,23.97786,20.76342,18.65575,20.1687,14.83549,13.96863,7.18959,4.30991,5.38747,2.00038,3.85919,7.39595,6.8044,3.8232,5.1851,0,1.85863,2.55205,7.15573,6.17005,2.60063,15.60068,4.76708,4.4681,6.83901,8.4518,7.24858,9.02479,6.19719,7.28518,34.87392,3.96041,5.61314,5.44855,6.06453,4.22922,5.84539,7.17587,8.33865,7.71656,7.8857,9.07001,10.43139,8.73046,6.98896,8.0896,8.32576,11.63393,11.0886,7.61577,8.63869,14.49947,12.00372,13.95514,16.88283,20.97406,15.13444,18.79229,17.83566,19.94924,19.60155,19.45774,20.39447,22.14389,22.30528,20.43335,12.03844,15.55641,11.68838,16.66628,26.57215,22.89941,25.14337,28.5934,29.45648,46.48906,43.72102,42.81155,41.13633,29.283,13.74087,20.15472,14.97979,17.55402,15.39562,18.58315,18.0249,17.11053,24.29139,26.96259,44.97399,33.08032,39.19882,42.79484,37.10948,22.7095,20.31114,21.35745,29.73415,26.66837,25.29288,28.37978,25.98087,31.65971,31.02183,29.16646,29.23817,30.50057,40.11707,43.84166,43.22274,42.11069,26.53647,31.26851,29.88728,21.25254,24.45277,3.50069,10.4818,14.45919,6.8033,19.71339,16.1311,9.13208,20.56404,13.51049,14.74422,9.54176,8.83141,22.57298,37.26095,45.5776,25.52895,11.15003
"79800018",22.94596,24.40542,21.32842,19.32702,21.2424,15.2315,14.85181,8.62199,5.9859,7.24574,3.83965,5.59478,9.1536,8.4763,5.31169,6.74055,1.85863,0,3.53477,8.62879,7.49086,2.3106,13.80974,3.03615,3.53126,5.34772,6.93015,5.9683,7.82275,5.24341,6.30643,33.39423,5.00054,6.53935,6.04755,6.34303,4.39251,5.72361,6.5515,7.82327,7.41776,7.83968,8.96378,10.76711,8.90678,7.83556,8.52725,9.17828,12.39994,12.28627,8.79366,9.93577,16.00919,10.18813,12.13605,15.03399,19.15102,13.63758,17.14695,16.24655,18.22373,18.00286,17.83824,18.76664,20.38032,20.61483,18.85608,10.63887,14.27163,11.17913,17.12018,24.95155,21.34843,23.65699,27.12678,27.96654,45.07123,42.28389,41.394,39.68847,27.71774,12.69639,20.3254,14.98364,17.49108,14.47198,17.17514,16.93545,16.60861,23.03658,25.57845,43.70859,32.03103,38.25745,42.03958,36.54544,22.56275,19.49202,20.29976,29.31965,25.98078,24.26153,27.18543,25.09825,30.2325,29.93673,27.71207,27.81537,29.14945,38.76236,42.44393,42.08718,41.33911,26.18474,30.52884,28.43408,19.9382,22.72614,2.43042,11.32498,15.90487,5.95472,18.04482,14.39025,7.27364,20.01581,14.02252,15.802,10.56371,10.28442,23.08698,36.11244,44.14776,24.95955,12.91452
"79800019",24.34771,26.28469,22.99435,20.82086,21.93978,17.19409,15.99492,8.70603,5.55053,5.36785,2.42668,2.91723,6.21971,5.33231,2.06029,3.46633,2.55205,3.53477,0,5.19267,3.97794,2.00388,17.0215,5.35267,3.73524,6.59649,8.1365,6.57067,8.07557,5.13224,6.12872,34.04898,1.47709,3.09108,2.92009,3.66819,2.12569,3.79902,5.55813,6.51252,5.70177,5.6415,6.83305,7.9308,6.31754,4.45245,5.57512,5.79589,9.09325,8.75578,5.26154,6.40554,12.54881,12.44851,14.37879,17.50302,21.3364,14.51599,18.47949,17.38624,19.87426,19.15369,19.06602,20.01469,22.19382,22.09064,19.92225,11.30167,14.52167,9.73321,14.12308,26.12245,22.30108,24.38193,27.76873,28.67677,45.5071,42.78302,41.83697,40.2262,28.67645,12.37051,17.67521,12.59227,15.18856,13.8297,17.7253,16.64419,15.06641,23.10311,25.98378,43.72342,31.54249,37.50676,40.88989,35.03578,20.37171,18.55942,19.89617,27.55569,24.73812,23.76686,27.07019,24.26458,30.73989,29.54049,28.31339,28.32113,29.442,39.03124,42.82655,41.7771,40.22358,24.32037,29.37385,29.02811,20.19111,24.34315,5.80347,12.59162,15.73665,9.25442,19.45695,16.16079,10.08714,18.53416,10.96339,12.3159,7.08335,6.81383,24.83098,35.84858,44.62107,23.49207,9.90073
